# Plate File Name: Power Up SYBR_02.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 01:18:54 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 01:19:00 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 02:34:29 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 29 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
1,A1,Standard_1,Target 1,UNKNOWN,SYBR,None,Amp,7.535181071,26.69090553,0.980257248,6.019300523,TRUE,0.21850056,TRUE,3,3,,,,,FALSE
2,A2,Standard_1,Target 1,UNKNOWN,SYBR,None,Amp,7.424563882,26.69090553,0.981929444,6.019300523,TRUE,0.21850056,TRUE,3,3,,,,,FALSE
3,A3,Standard_1,Target 1,UNKNOWN,SYBR,None,Amp,7.400838555,26.69090553,0.982313767,6.019300523,TRUE,0.21850056,TRUE,3,3,,,,,FALSE
4,A4,C-L-25,Target 1,UNKNOWN,SYBR,None,Amp,30.08159441,26.69090553,0.956855797,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
5,A5,C-L-25,Target 1,UNKNOWN,SYBR,None,Amp,29.7726823,26.69090553,0.958066446,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
6,A6,C-L-25,Target 1,UNKNOWN,SYBR,None,Amp,29.78929316,26.69090553,0.964444933,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
7,A7,C-D-25,Target 1,UNKNOWN,SYBR,None,Amp,28.46772034,26.69090553,0.968803254,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
8,A8,C-D-25,Target 1,UNKNOWN,SYBR,None,Amp,28.6119366,26.69090553,0.942116672,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
9,A9,C-D-25,Target 1,UNKNOWN,SYBR,None,Amp,28.53533944,26.69090553,0.952696561,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
10,A10,EC-3,Target 1,UNKNOWN,SYBR,None,Amp,27.33697211,26.69090553,0.955743015,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
11,A11,EC-3,Target 1,UNKNOWN,SYBR,None,Amp,27.40984685,26.69090553,0.953346814,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
12,A12,EC-3,Target 1,UNKNOWN,SYBR,None,Amp,27.79777851,26.69090553,0.936645422,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
13,B1,Standard_2,Target 1,UNKNOWN,SYBR,None,Amp,10.78456601,26.69090553,0.959802985,6.019300523,TRUE,0.21850056,TRUE,3,6,,,,,FALSE
14,B2,Standard_2,Target 1,UNKNOWN,SYBR,None,Amp,10.82124011,26.69090553,0.975668563,6.019300523,TRUE,0.21850056,TRUE,3,6,,,,,FALSE
15,B3,Standard_2,Target 1,UNKNOWN,SYBR,None,Amp,10.64134059,26.69090553,0.979947053,6.019300523,TRUE,0.21850056,TRUE,3,6,,,,,FALSE
16,B4,W-L-2,Target 1,UNKNOWN,SYBR,None,Amp,30.15049889,26.69090553,0.960315479,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
17,B5,W-L-2,Target 1,UNKNOWN,SYBR,None,Amp,29.82646481,26.69090553,0.961140388,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
18,B6,W-L-2,Target 1,UNKNOWN,SYBR,None,Amp,29.8517191,26.69090553,0.958178859,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
19,B7,S-L-16,Target 1,UNKNOWN,SYBR,None,Amp,29.80189562,26.69090553,0.957044768,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
20,B8,S-L-16,Target 1,UNKNOWN,SYBR,None,Amp,29.66818674,26.69090553,0.964321206,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
21,B9,S-L-16,Target 1,UNKNOWN,SYBR,None,Amp,29.71402338,26.69090553,0.967366133,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
22,B10,C-L-4,Target 1,UNKNOWN,SYBR,None,Amp,31.24473491,26.69090553,0.969521772,6.019300523,TRUE,0.21850056,TRUE,3,26,,,,,FALSE
23,B11,C-L-4,Target 1,UNKNOWN,SYBR,None,Amp,31.0289237,26.69090553,0.954016111,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
24,B12,C-L-4,Target 1,UNKNOWN,SYBR,None,Amp,31.36794881,26.69090553,0.960728332,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
25,C1,Standard_3,Target 1,UNKNOWN,SYBR,None,Amp,14.1197744,26.69090553,0.954377716,6.019300523,TRUE,0.21850056,TRUE,3,9,,,,,FALSE
26,C2,Standard_3,Target 1,UNKNOWN,SYBR,None,Amp,14.11544576,26.69090553,0.966453077,6.019300523,TRUE,0.21850056,TRUE,3,9,,,,,FALSE
27,C3,Standard_3,Target 1,UNKNOWN,SYBR,None,Amp,14.10975746,26.69090553,0.969822823,6.019300523,TRUE,0.21850056,TRUE,3,9,,,,,FALSE
28,C4,V-N-17,Target 1,UNKNOWN,SYBR,None,Amp,27.658134,26.69090553,0.958040437,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
29,C5,V-N-17,Target 1,UNKNOWN,SYBR,None,Amp,27.76270281,26.69090553,0.962322767,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
30,C6,V-N-17,Target 1,UNKNOWN,SYBR,None,Amp,27.77513585,26.69090553,0.963564605,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
31,C7,S-L-29,Target 1,UNKNOWN,SYBR,None,Amp,29.36687301,26.69090553,0.96683405,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
32,C8,S-L-29,Target 1,UNKNOWN,SYBR,None,Amp,29.31996178,26.69090553,0.960632329,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
33,C9,S-L-29,Target 1,UNKNOWN,SYBR,None,Amp,29.2126359,26.69090553,0.96051553,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
34,C10,V-N-10,Target 1,UNKNOWN,SYBR,None,Amp,30.48187647,26.69090553,0.965295225,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
35,C11,V-N-10,Target 1,UNKNOWN,SYBR,None,Amp,30.35815229,26.69090553,0.962911241,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
36,C12,V-N-10,Target 1,UNKNOWN,SYBR,None,Amp,30.4564483,26.69090553,0.957794185,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
