# Plate File Name: 16s_Plate_3.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 04:51:02 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 04:51:09 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 06:06:39 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 30 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
1,A1,Standard 1,Target 1,UNKNOWN,SYBR,None,Amp,7.120504955,26.33203894,0.980652106,6.778631152,TRUE,0.218324067,TRUE,3,3,,,,,FALSE
2,A2,Standard 1,Target 1,UNKNOWN,SYBR,None,Amp,6.927517039,26.33203894,0.9817441,6.778631152,TRUE,0.218324067,TRUE,3,3,,,,,FALSE
3,A3,Standard 1,Target 1,UNKNOWN,SYBR,None,Amp,7.005168511,26.33203894,0.98961243,6.778631152,TRUE,0.218324067,TRUE,3,3,,,,,FALSE
4,A4,C-L-13,Target 1,UNKNOWN,SYBR,None,Amp,29.74678335,26.33203894,0.946847802,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
5,A5,C-L-13,Target 1,UNKNOWN,SYBR,None,Amp,29.84822806,26.33203894,0.948356286,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
6,A6,C-L-13,Target 1,UNKNOWN,SYBR,None,Amp,29.70895409,26.33203894,0.932957902,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
7,A7,S-L-19,Target 1,UNKNOWN,SYBR,None,Amp,29.08490174,26.33203894,0.956195243,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
8,A8,S-L-19,Target 1,UNKNOWN,SYBR,None,Amp,29.21027902,26.33203894,0.945811226,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
9,A9,S-L-19,Target 1,UNKNOWN,SYBR,None,Amp,29.29769177,26.33203894,0.942776911,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
10,A10,V-N-0,Target 1,UNKNOWN,SYBR,None,Amp,28.05521374,26.33203894,0.924812175,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
11,A11,V-N-0,Target 1,UNKNOWN,SYBR,None,Amp,27.99051471,26.33203894,0.929582915,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
12,A12,V-N-0,Target 1,UNKNOWN,SYBR,None,Amp,28.28989829,26.33203894,0.897735826,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
13,B1,Standard 2,Target 1,UNKNOWN,SYBR,None,Amp,10.7738001,26.33203894,0.971319108,6.778631152,TRUE,0.218324067,TRUE,3,6,,,,,FALSE
14,B2,Standard 2,Target 1,UNKNOWN,SYBR,None,Amp,10.79485388,26.33203894,0.987176489,6.778631152,TRUE,0.218324067,TRUE,3,6,,,,,FALSE
15,B3,Standard 2,Target 1,UNKNOWN,SYBR,None,Amp,10.66118612,26.33203894,0.985107578,6.778631152,TRUE,0.218324067,TRUE,3,6,,,,,FALSE
16,B4,W-L-17,Target 1,UNKNOWN,SYBR,None,Amp,31.65488922,26.33203894,0.916578693,6.778631152,TRUE,0.218324067,TRUE,3,26,,,,,FALSE
17,B5,W-L-17,Target 1,UNKNOWN,SYBR,None,Amp,30.8485335,26.33203894,0.950432049,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
18,B6,W-L-17,Target 1,UNKNOWN,SYBR,None,Amp,31.24159395,26.33203894,0.952499044,6.778631152,TRUE,0.218324067,TRUE,3,26,,,,,FALSE
19,B7,C-L-29,Target 1,UNKNOWN,SYBR,None,Amp,26.98359526,26.33203894,0.954188296,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
20,B8,C-L-29,Target 1,UNKNOWN,SYBR,None,Amp,26.79536355,26.33203894,0.958590209,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
21,B9,C-L-29,Target 1,UNKNOWN,SYBR,None,Amp,27.23026909,26.33203894,0.945999989,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
22,B10,C-L-1,Target 1,UNKNOWN,SYBR,None,Amp,29.90205566,26.33203894,0.959655411,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
